,power
485,-0.351
486,-0.333
487,-0.333
488,-0.318
489,-0.336
490,-0.343
491,-0.337
492,-0.338
493,-0.337
494,-0.321
495,-0.326
496,-0.324
497,-0.331
498,-0.332
499,-0.343
500,-0.319
501,-0.33
502,-0.319
503,-0.336
504,-0.332
505,-0.344
506,-0.349
507,-0.342
508,-0.341
509,-0.343
510,-0.38
511,-0.425
512,0.474
513,5.345
514,12.134
515,20.696
516,29.533
517,38.625
518,47.368
519,54.781
520,60.765
521,65.772
522,70.065
523,74.246
524,77.907
525,81.081
526,84.039
527,86.254
528,88.088
529,89.385
530,90.247
531,90.877
532,90.967
533,91.49
534,91.043
535,90.258
536,89.168
537,87.744
538,85.808
539,83.009
540,79.948
541,76.544
542,72.495
543,68.595
544,63.982
545,58.211
546,51.49
547,42.892
548,33.099
549,23.81
550,14.262
551,5.733
552,1.584
553,0.098
554,-0.402
555,-0.414
556,-0.314
557,-0.3
558,-0.318
559,-0.308
560,-0.33
561,-0.329
562,-0.321
563,-0.329
564,-0.322
565,-0.335
566,-0.338
567,-0.317
568,-0.328
569,-0.304
570,-0.306
571,-0.319
572,-0.32
573,-0.347
574,-0.314
575,-0.316
576,-0.322
577,-0.329
578,-0.331
579,-0.338
580,-0.337
581,-0.331
582,-0.324
583,-0.329
584,-0.318
585,-0.34
586,-0.334
587,-0.324
588,-0.328
589,-0.334
590,-0.321
591,-0.311
592,-0.32
593,-0.335
594,-0.343
595,-0.323
596,-0.349
597,-0.332
598,-0.331
599,-0.34
600,-0.338
601,-0.335
602,-0.331
603,-0.328
604,-0.341
605,-0.325
606,-0.4
607,-0.364
608,0.53
609,5.727
610,12.822
611,23.209
612,32.177
613,40.997
614,49.629
615,52.692
616,58.474
617,65.566
618,69.74
619,75.354
620,78.721
621,81.411
622,83.635
623,85.702
624,87.568
625,89.972
626,91.295
627,92.267
628,92.612
629,92.59
630,91.884
631,91.288
632,90.014
633,88.2
634,85.468
635,82.986
636,80.308
637,77.103
638,73.455
639,69.744
640,64.916
641,59.472
642,52.63
643,44.03
644,34.268
645,24.813
646,16.408
647,9.117
648,3.396
649,0.187
650,-0.373
651,-0.425
652,-0.344
653,-0.329
654,-0.329
655,-0.334
656,-0.334
657,-0.338
658,-0.333
659,-0.324
660,-0.329
661,-0.341
662,-0.323
663,-0.319
664,-0.328
665,-0.33
666,-0.336
667,-0.326
668,-0.335
669,-0.321
670,-0.33
671,-0.329
672,-0.327
673,-0.333
674,-0.339
675,-0.316
676,-0.318
677,-0.317
678,-0.319
679,-0.325
680,-0.313
681,-0.315
682,-0.316
683,-0.325
684,-0.33
685,-0.312
686,-0.328
687,-0.312
688,-0.325
689,-0.338
690,-0.333
691,-0.319
692,-0.33
693,-0.31
694,-0.328
695,-0.337
696,-0.329
697,-0.331
