13.405,0.1,-0.49639
18.067,0.1,-0.47093
11.817,0.167,-0.46245
5.0572,0.4,-0.4681
1.9064,0.333,-0.45821
1.1724,0.333,-0.47659
-0.37618,0.4,-0.46103
-0.72125,0.333,-0.45821
-0.48225,0.333,-0.43699
-0.47376,0.5,-0.45821
-0.48932,0.5,-0.45538
-0.47659,0.267,-0.47942
-0.45113,0.267,-0.44689
-0.45679,0.133,-0.46669
-0.46952,0,-0.45538
-0.46245,0.033,-0.44265
-0.44831,0.1,-0.45679
-0.46245,0.033,-0.44972
-0.47235,0.1,-0.4681
-0.46245,0.1,-0.45255
-0.44265,0.167,-0.44972
-0.45113,0.267,-0.45962
-0.46528,0.333,-0.46386
-0.4681,0.4,-0.45679
-0.46669,0.4,-0.48508
-0.45396,0.4,-0.44689
-0.45538,0.4,-0.45962
-0.4681,0.3,-0.45396
-0.45113,0.1,-0.45962
-0.45679,0.1,-0.46103
-0.46952,0.1,-0.46952
-0.46103,0.1,-0.46528
-0.43841,0.1,-0.56144
-0.43558,1.367,-0.42426
-0.44689,6.833,0.41578
-0.42144,22.133,2.6375
-0.44831,32.533,3.3022
-0.45538,34.967,3.5666
-0.44548,43.167,5.3882
-0.44406,50.933,5.9609
-0.45538,51.533,6.5054
-0.43558,83.867,13.304
-0.45679,111.73,12.043
-0.45679,103.1,14.053
-0.43699,121.1,16.918
-0.43699,124.27,14.361
-0.46386,107.67,21.865
-0.45396,190.33,33.025
-0.45679,183.2,20.284
-0.45538,147.13,15.822
-0.43699,118.07,16.491
-0.45255,136.93,21.314
-0.43416,130.8,14.749
-0.45679,104.23,14.945
-0.45679,102.63,17.999
-0.46528,116.63,17.205
-0.46528,128.17,16.963
-0.45396,95.8,11.669
-0.45821,74.4,14.316
-0.46528,103.1,13.042
-0.65054,77.633,9.5785
-0.27153,53.467,9.8443
1.7918,74.267,10.533
3.8155,62.3,10.885
12.387,84.7,10.697
20.765,71.233,6.8462
17.376,50.033,5.6979
10.652,29.067,3.6218
13.855,29.6,2.1326
13.147,17,0.88388
16.051,13.733,1.854
23.227,20.733,0.98995
23.793,13.867,-0.045255
23.92,4.867,-0.62508
39.031,1.4,-0.68165
30.946,0.467,-0.62084
30.585,0.133,-0.50063
37.533,0.1,-0.4879
34.459,0.1,-0.4681
33.289,0.1,-0.48225
26.77,0.1,-0.49073
24.616,0.1,-0.48932
44.944,0.033,-0.50629
29.892,0,-0.47093
28.578,0,-0.48649
21.021,0.033,-0.49356
20.079,0.033,-0.48508
16.319,0,-0.47518
20.689,0,-0.48083
17.618,0,-0.50205
13.404,0,-0.49215
15.971,0,-0.49073
14.162,0,-0.47235
10.829,0,-0.48225
10.293,0.067,-0.47518
9.2348,0,-0.45113
9.669,0.067,-0.46669
6.3852,0,-0.47518
3.6727,0,-0.46669
2.6955,0.067,-0.47659
0.84287,0,-0.48225
0.42851,0.1,-0.48083
-0.52043,0.033,-0.46669
-0.72125,0,-0.4681
-0.51336,0,-0.48225
-0.46952,0,-0.48508
-0.48366,0,-0.49215
-0.50063,0.033,-0.49497
-0.46386,0.033,-0.45255
-0.45113,0,-0.4681
-0.48366,0,-0.46245
-0.49497,0,-0.4681
-0.49922,0,-0.47518
-0.45113,0,-0.47235
-0.48508,0.067,-0.47376
-0.49073,0,-0.44972
-0.47235,0,-0.46245
-0.51195,0,-0.46669
-0.48083,0,-0.46669
-0.49922,0,-0.4879
-0.47942,0,-0.48083
-0.47942,0,-0.49215
-0.45821,0,-0.478
-0.47942,0,-0.4879
-0.49639,0,-0.4978
-0.47093,0,-0.49356
-0.46245,0,-0.51336
-0.4681,0,-0.51619
-0.45821,0.4,-0.63215
-0.47659,5.433,0.84429
-0.46103,26.1,7.6452
-0.45821,92.133,17.464
-0.43699,146.07,30.292
-0.45821,265.63,34.999
-0.45538,255.9,32.583
-0.47942,293.3,58.725
-0.44689,413.83,76.189
-0.46669,458.23,85.588
-0.45538,495.9,92.764
-0.44265,506.2,98.443
-0.45679,520.47,104.56
-0.44972,571.53,110.53
-0.4681,625.93,112.43
-0.45255,657.53,118.07
-0.44972,668,115.93
-0.45962,733.33,111.31
-0.46386,741.73,123.42
-0.45679,733.4,124.37
-0.48508,752.6,124.74
-0.44689,753.87,122.52
-0.45962,765.07,124.95
-0.45396,755.23,125.61
-0.45962,749.83,124.43
-0.46103,743.13,122.85
-0.46952,725,119.5
-0.46528,695.4,116.52
-0.56144,673.33,113.78
-0.42426,652.17,109.92
0.41578,624.77,104.35
2.6375,592.3,100.84
3.3022,557.43,94.905
3.5666,511.47,88.303
5.3882,475.53,80.449
5.9609,423.93,70.135
